0112;ANAQUEL;ANAQUEL;Gafa; 315/ 340/357/ 360/360/380/387                ; Freezer                                ;46 x 6 x    cm;;$ 199,72; $ 241,66 
0113;ANAQUEL;ANAQUEL;Columbia/ Kohinoor;COL- 2334/2294  KOIN- 4094/3290/3294/3494/;Frascos;47 x 8 x 3,5 cm;;$ 280,18; $ 339,02 
0117;ANAQUEL;ANAQUEL;Gafa;   Mod HGNF 7500;Botella Platinum; 59,5 x 11      cm;;$ 175,15; $ 211,93 
0118;ANAQUEL;ANAQUEL;Gafa;HGNF 7500; freezer ; 59 x 6       cm    ;;$ 334,70; $ 404,99 
0126;ANAQUEL;ANAQUEL;Columbia/ Kohinoor;COL- 2334/2294  KOIN- 4094/3290/3294/3494;Botella;47 x 9 x 11 cm             .;;$ 300,36; $ 363,44 
0127;ANAQUEL;ANAQUEL;Columbia/ Kohinoor;COL- 2434/        KOIN-4394;Botella;52 x 9 x 11 cm;;$ 317,70; $ 384,42 
0128;ANAQUEL;ANAQUEL;  Crow Mustang;  Crow Mustang;;44 x 10,5 x 7 cm;;$ 173,64; $ 210,11 
0129;ANAQUEL;ANAQUEL;  Crow Mustang;  Crow Mustang;;54 x 10 x 7 cm;;$ 176,40; $ 213,44 
0130;ANAQUEL;ANAQUEL;Neba;  Neba - Zenith chico;;45 x 4 x 6 cm;;$ 179,43; $ 217,11 
0131;ANAQUEL;ANAQUEL;Patrick;HPK 814/35/12/290; botellas Margot;45,5 x 10 x 7 cm;;$ 329,66; $ 398,89 
0132;ANAQUEL;ANAQUEL;Patrick;HPK 816/365/415/37/41;botellas Margot;57 x 9,5 x 6 cm;;$ 239,43; $ 289,71 
0133;ANAQUEL;ANAQUEL;Mabe/ General Electric;Mabe HMA 450 (General Electric REGE 410/450);botella;;;$ 343,00; $ 415,03 
0134;ANAQUEL;ANAQUEL;Patrick; HPK 310 ; botella ;;;$ 191,01; $ 231,12 
0135;ANAQUEL;ANAQUEL;Patrick; HPK 350; botellas ;;;$ 202,58; $ 245,13 
0136;ANAQUEL;ANAQUEL;Patrick; HPK 814; lacteos;;;$ 317,63; $ 384,33 
0137;ANAQUEL;ANAQUEL;Patrick; HPK 816; lacteos ;;;$ 209,38; $ 253,34 
0138;ANAQUEL;ANAQUEL;Patrick;HPK 816;huevera ;;;$ 221,74; $ 268,31 
140;ANAQUEL;ANAQUEL;Bambi/ Westinhouse/ Zenith/ Coventry/ Mihura/ Sigma/ Standard Electric;;Balcon largo bajo;51x12x7,5 cm;;$ 119,95; $ 145,14 
141;ANAQUEL;ANAQUEL;Bambi/ Westinhouse/ Zenith/ Coventry/ Mihura/ Sigma/ Standard Electric;;Balcon largo alto ;51x12x10 cm;;$ 156,61; $ 189,50 
142;ANAQUEL;ANAQUEL;Bambi/ Westinhouse/ Zenith/ Coventry/ Mihura/ Sigma/ Standard Electric;;Balcon chico c/ tornillo Bambi;;;$ 80,79; $ 97,76 
143;ANAQUEL;ANAQUEL;Bambi/ Westinhouse/ Zenith/ Coventry/ Mihura/ Sigma/ Standard Electric;;Balcon encastrable ;44x7,5x8 cm;;$ 117,23; $ 141,85 
144;ANAQUEL;ANAQUEL;Bambi/ Westinhouse/ Zenith/ Coventry/ Mihura/ Sigma/ Standard Electric;;Balcon chico huevera ;25x12x7 cm;;$ 57,79; $ 69,92 
145;ANAQUEL;ANAQUEL;Bambi/ Westinhouse/ Zenith/ Coventry/ Mihura/ Sigma/ Standard Electric;;Balcón mantequera ;25x12x5 cm;;$ 46,72; $ 56,53 
68033;ANAQUEL;ANAQUEL;Whirlpool; WRX 50X1;Estante gris ;;;$ 179,67; $ 217,40 
116 A;ANAQUEL;ANAQUEL;Gafa;  Gafa  Mod.3400/3600/7300/380/350  Botella modelo antiguo;  Botella modelo antiguo; 48,5 x 11     cm;;$ 272,95; $ 330,27 
116 B;ANAQUEL;ANAQUEL;Gafa;  Gafa  Mod. 3400/3600/7300/380/350  Botella modelo nuevo ; Botella modelo nuevo ;48,5 x 11 cm;;$ 159,15; $ 192,57 
124 A;ANAQUEL;ANAQUEL;Gafa;315/ 340/357/ 360/360/380/387;Frascos (Modelo Antiguo); 48,5 x 6 cm;;$ 233,02; $ 281,95 
124 B;ANAQUEL;ANAQUEL;Gafa; 315/ 340/357/ 360/360/380/387                ;frascos                    ; 48,5 x 6 cm;;$ 210,25; $ 254,40 
01953;ANAQUEL ;ANAQUEL;Whirlpool;WRM37;Anaquel porta botellas ;;;$ 166,27; $ 201,18 
04351;ANAQUEL ;ANAQUEL;Whirlpool;WRM44;Anaquel botellas ;;;$ 332,37; $ 402,17 
05815;ANAQUEL ;ANAQUEL;Whirlpool/ Consul;CRD 36/ 39 ARB 210/211          ;Anaquel freezer       ;46cm;;$ 126,07; $ 152,55 
06186;ANAQUEL ;ANAQUEL;Whirlpool;WRM 34/ 38 ;Anaquel freezer                    ;47,5 cm;;$ 82,52; $ 99,85 
07639;ANAQUEL ;ANAQUEL;Whirlpool/ Consul;CRA32- 36B;Anaquel manteq. Ref. /;;;$ 0,00; $ -   
07651;ANAQUEL ;ANAQUEL;Consul;CRA32/36B;Anaquel botella ;;;$ 74,65; $ 90,32 
11138;ANAQUEL ;ANAQUEL;Consul;CRD 33;Anaquel fume;;;$ 194,93; $ 235,86 
11415;ANAQUEL ;ANAQUEL;Whirlpool;WRO 31 ABDWA  WRF 36A.;Anaquel botella ;;;$ 114,08; $ 138,04 
13059;ANAQUEL ;ANAQUEL;Whirlpool; ARB 211  WRM 37  WRD36  ;Anaquel varios ;47,5 cm ;;$ 193,85; $ 234,55 
14186;ANAQUEL ;ANAQUEL;Eslabón de Lujo;LE280/ CRC28;Anaquel superior Ref. ;;;$ 170,68; $ 206,52 
14187;ANAQUEL ;ANAQUEL;Consul/ Eslabón de Lujo;LE 280 CRC 28B   ;Anaquel botella Eslabón     ;46 cm;;$ 280,00; $ 338,80 
16806;ANAQUEL ;ANAQUEL;Whirlpool;WRM 43  ARB 210/ 20/ 40   ;Anaquel varios      ;55 cm ;;$ 249,60; $ 302,02 
17215;ANAQUEL ;ANAQUEL;Whirlpool; ARB 210/ 20/ 21/ WRM 37/44- ;Anaquel freezer ;55cm;;$ 97,20; $ 117,61 
20894;ANAQUEL ;ANAQUEL;Whirlpool;wrm 448;Anaquel bot. Refr. (28640);;;$ 103,95; $ 125,77 
23979;ANAQUEL ;ANAQUEL;Whirlpool; WRM 44 D  WRX 48/ WRE 48DB  6to.;Anaquel freezer ;;;$ 308,75; $ 373,59 
24637;ANAQUEL ;ANAQUEL;Whirlpool;WRM40D;Anaquel porta huevera ;;;$ 198,77; $ 240,51 
27045;ANAQUEL ;ANAQUEL;Whirlpool;;Anaquel Botella;;;$ 150,00; $ 181,50 
27074;ANAQUEL ;ANAQUEL;Whirlpool;WRM 36/ 40D   ;Anaquel freezer   v/agua            ;43 cm;;$ 110,48; $ 133,68 
27447;ANAQUEL ;ANAQUEL;Whirlpool;wrm36/40  d;Anaquel botella     v/agua            ;43CM;;$ 675,00; $ 816,75 
27450;ANAQUEL ;ANAQUEL;Whirlpool;WRM 36/ 40D  ;Anaquel varios     v/agua            ;43 cm;;$ 931,60; $ 1.127,24 
28638;ANAQUEL ;ANAQUEL;Whirlpool;wrm448;Anaquel varios. Refr. ;;;$ 448,40; $ 542,56 
30748;ANAQUEL ;ANAQUEL;Whirlpool;WRA09;Anaquel botellas ;;;$ 235,92; $ 285,46 
31008;ANAQUEL ;ANAQUEL;Whirlpool;WRC 12XR- WRAD9;Anaquel pta. ref. ;;;$ 206,64; $ 250,03 
32848;ANAQUEL ;ANAQUEL;Consul/ Eslabón de Lujo;LE 300/ Era 30/ CRD 34/36/3 CRM 33B   ;Anaquel botella ;;;$ 204,83; $ 247,85 
35290;ANAQUEL ;ANAQUEL;Consul;CRA30-34;Anaquel inferior Refrigerador ;;;$ 60,43; $ 73,11 
35491;ANAQUEL ;ANAQUEL;Consul;erm 440;Anaquel botella celeste gde;;;$ 160,93; $ 194,73 
37136;ANAQUEL ;ANAQUEL;Whirlpool/ Eslabón de Lujo;CRP 34/ ERA34/ CRD 36/ 39      ;Anaquel varios  ;49 cm ;;$ 243,53; $ 294,67 
37915;ANAQUEL ;ANAQUEL;Eslabón de Lujo; ERM30;Anaquel complemento ;;;$ 178,10; $ 215,50 
40653;ANAQUEL ;ANAQUEL;Whirlpool;;Anaquel ;;;$ 150,00; $ 181,50 
40658;ANAQUEL ;ANAQUEL;Consul;erd 47/470/400;Frente Anaquel botellas              Varilla ;;;$ 359,70; $ 435,24 
41580;ANAQUEL ;ANAQUEL;Eslabón de Lujo;ERM 30 ;Anaquel pta. ref.;;;$ 168,82; $ 204,28 
47234;ANAQUEL ;ANAQUEL;Whirlpool;ARH300/230;Anaquel para huevos ;;;$ 150,00; $ 181,50 
47325;ANAQUEL ;ANAQUEL;Whirlpool;ARH30;Anaquel superior ;;;$ 200,00; $ 242,00 
47339;ANAQUEL ;ANAQUEL;Whirlpool;arb357;Anaquel botella bco  ;;;$ 309,12; $ 374,04 
47549;ANAQUEL ;ANAQUEL;Whirlpool;WRM39/43  ARB 220;Anaquel botella   ranuras ;55CM;;$ 551,46; $ 667,27 
47644;ANAQUEL ;ANAQUEL;Whirlpool;WRM29;Anaquel Freezer ;;;$ 150,00; $ 181,50 
47649;ANAQUEL ;ANAQUEL;Whirlpool;WRM 29;Anaquel de puerta ;;;$ 135,00; $ 163,35 
52389;ANAQUEL ;ANAQUEL;Eslabón de Lujo; ERA34D;Anaquel porta latas ;;;$ 122,87; $ 148,67 
52602;ANAQUEL ;ANAQUEL;Whirlpool; WRX50x1;Anaquel Pequeño ;;;$ 610,89; $ 739,18 
57289;ANAQUEL ;ANAQUEL;Whirlpool;WRM 44 D  WRX 48/ WRE 48DB ;Anaquel varios     6to. ;;;$ 356,40; $ 431,24 
61530;ANAQUEL ;ANAQUEL;Whirlpool; WRM 44D/45 WRX 48/  WRE 48DB v/a;Anaquel botella ;;;$ 225,16; $ 272,44 
62976;ANAQUEL ;ANAQUEL;Whirlpool;;Anaquel varios;;;$ 291,21; $ 352,36 
67736;ANAQUEL ;ANAQUEL;Eslabón de Lujo;ERD35D1;Anaquel ;;;$ 41,65; $ 50,40 
76183;ANAQUEL ;ANAQUEL;Eslabón de Lujo;ERB36D2;Anaquel verde cristal ;;;$ 212,62; $ 257,27 
79159;ANAQUEL ;ANAQUEL;Whirlpool;WRM41B1/E1;Anaquel refri lacteos ;;;$ 741,55; $ 897,28 
84754;ANAQUEL ;ANAQUEL;Whirlpool;ARB224 ARB254 WRK424 WRM394 ARB224 ARB224 ARB250 ARB250 ARB220 ARB220 WRG43B WRG43 WRM43B WRM43 WRK42 WRM39;Anaquel botellas (16807);;;$ 552,41; $ 668,41 
85319;ANAQUEL ;ANAQUEL;Whirlpool;WRM39;5;;;$ 208,28; $ 252,02 
87540;ANAQUEL ;ANAQUEL;Whirlpool;WRM39;Anaquel Botellas ;;;$ 215,37; $ 260,60 
14270;BANDEJA;CARNE;Eslabón de Lujo;LE 280;Bandeja p/c ;;;$ 185,14; $ 224,01 
37401;BANDEJA;CARNE;Consul/ Eslabón de Lujo;ERP 34a,CRP 34a, CRP 38a;Bandeja p/c ;;;$ 272,61; $ 329,86 
40632;BANDEJA;CARNE;Eslabón de Lujo; ERD 37/ 40  CRD 36 37A;Bandeja p/c      ; 440x350x85;;$ 437,93; $ 529,89 
85319;BANDEJA;CARNE;Whirlpool;WRM 39;Bandeja ;;;$ 154,50; $ 186,95 
0300;BANDEJA;DESAGUE;Adaptable;  Mod. 422 ;  Cortar a 41 cm   ;500 x 300 x 30.. mm;;$ 150,49; $ 182,09 
0301;BANDEJA;DESAGUE;Adaptable;  Mod  425 ;  Cortar a 50 cm   ;620 x 350 x 45.. mm;;$ 179,43; $ 217,11 
0302;BANDEJA;DESAGUE;Coventry/ Tophouse/ Zenith;  Coventry - Tophouse - Zenith..............................;;460 x 290 x 20.. mm;;$ 0,00; $ -   
0303;BANDEJA;DESAGUE;Philips; RB 11;;470 x 370 x 30.. mm;;$ 0,00; $ -   
0304;BANDEJA;DESAGUE;Neba;  Zenith ZC 7 - ZC 9  ...............................................;;450 x 340 x 30.. mm;;$ 0,00; $ -   
0305;BANDEJA;DESAGUE;Neba;  Zenith ZU 413 - ZU 513      ...................................;;470 x 370 x 30.. mm;;$ 0,00; $ -   
0306;BANDEJA;DESAGUE;Adaptable;  Luxcer mod R-56………………………………….;;;;$ 0,00; $ -   
1316;BANDEJA;DESAGUE;Bambi/ Westinhouse/ Zenith/ Coventry/ Mihura/ Sigma/ Standard Electric;1200;Bandeja de desague 47 x 37 cm;;;$ 82,80; $ 100,19 
47439;BANDEJA;DESAGUE;Whirlpool;ARH 340 ;Bandeja de desague  (RX0141847439);;;$ 364,00; $ 440,44 
47478;BANDEJA;DESAGUE;Whirlpool;WVG 28 D ;Bandeja p/ frutas y verduras  (25013)  Verde Agua;;;$ 551,35; $ 667,13 
1300;BANDEJA;EVAPORADORA;Adaptable;; Plastica Estandar... Natural ;;;$ 29,24; $ 35,38 
1301;BANDEJA;EVAPORADORA;Adaptable;; Chapa con Soporte;;;$ 90,20; $ 109,14 
1302;BANDEJA;EVAPORADORA;Adaptable;; Chapa sin soporte;;;$ 71,75; $ 86,82 
1303;BANDEJA;EVAPORADORA;Adaptable;; p /,colgar;190 x 75 x 140 mm;;$ 40,64; $ 49,18 
1304;BANDEJA;EVAPORADORA;Columbia;CHF1500 Bocha;Bocha;350 x 45 x 40   mm;;$ 78,39; $ 94,85 
1305;BANDEJA;EVAPORADORA;Columbia;CHF1500 ;en V ;      x      x       mm;;$ 110,88; $ 134,16 
1306;BANDEJA;EVAPORADORA;Adaptable;;c/encastre;570 x 50 x 50   mm;;$ 127,78; $ 154,62 
1307;BANDEJA;EVAPORADORA;Patrick;Mod. 2008 - 11;  ;420 x 390 x 50 mm;;$ 342,77; $ 414,75 
1308;BANDEJA;EVAPORADORA;Columbia;;con soporte;;;$ 78,74; $ 95,28 
1309;BANDEJA;EVAPORADORA;Columbia;Tecumseh; c/encastre;;;$ 195,60; $ 236,67 
1310;BANDEJA;EVAPORADORA;Gafa;BR 70800       ;c/encastre;;;$ 213,00; $ 257,73 
1311;BANDEJA;EVAPORADORA;Columbia/ Kohinoor;Tecumseh;c/encastre;245 x 150 mm;;$ 194,42; $ 235,24 
1312;BANDEJA;EVAPORADORA;Columbia/ Kohinoor;Tecumseh;c/encastre;210 x 155 mm;;$ 186,55; $ 225,72 
1313;BANDEJA;EVAPORADORA;Kohinoor;;;;;$ 72,80; $ 88,09 
1314;BANDEJA;EVAPORADORA;Adaptable;TEC TA1375Y;;;;$ 163,10; $ 197,35 
1315;BANDEJA;EVAPORADORA;Columbia/ Kohinoor;Tecumseh;c/encastre; 280 x 155 mm;;$ 150,26; $ 181,82 
61887;BANDEJA;EVAPORADORA;Whirlpool;ARB 354/ 357/ 389  ;Cazoleta Universal  Embraco natural;;;$ 40,80; $ 49,37 
61888;BANDEJA;EVAPORADORA;Whirlpool;ARB 210/220/21/240/  WRM37/47 WVG29D;Cazoleta;;;$ 248,40; $ 300,56 
3925;BANDEJA;HIELO;Bambi/ Westinhouse/ Zenith/ Coventry/ Mihura/ Sigma/ Standard Electric;;Bandeja hielo Ice Marker ;;;$ 88,25; $ 106,78 
43059;BASE;TERMOSTATO;Eslabón de Lujo;ERD340;Base termostato  RX 326043059 (17196);;;$ 56,91; $ 68,87 
0500;BISAGRA;CENTRAL;Tophouse/ Coventry; Adzen - Coventry - Tophouse   Neba;blanca z117zamak pintada;;;$ 73,97; $ 89,50 
0501;BISAGRA;CENTRAL;Aurora/ Siam; Aurora HX Siam;p 200...Blanca…plastica.;;;$ 72,35; $ 87,55 
0502;BISAGRA;CENTRAL;Aurora/ Tivoli/ Bambi; Aurora - Tivoli - Bambi ;P 200...Blanca;;;$ 81,20; $ 98,25 
0503;BISAGRA;CENTRAL;Columbia/ Bricket; Columbia CHF 1500 - Briket;N° 6...Chapa;;;$ 75,18; $ 90,97 
0504;BISAGRA;CENTRAL;Columbia/ Coventry/ Bricket; Columbia.-Coventry -Bricket-.Gardenia  original;Nº 1…Zamak;;;$ 106,40; $ 128,74 
0505;BISAGRA;CENTRAL;Patrick;Varios;Bisagra Patrick central;;;$ 36,00; $ 43,56 
0508;BISAGRA;CENTRAL;Neba/ Coventry/ Peabody; Peabody - Coventry - Neba -Kent- Bercomar;Z-116  Cromada;;;$ 100,33; $ 121,40 
0509;BISAGRA;CENTRAL;Neba/ Coventry/ Peabody; Peabody - Coventry - Neba - Tivoli -Calorex;H 50....Chapa.....;;;$ 57,87; $ 70,02 
0510;BISAGRA;CENTRAL;Delpiave; Pearson - Delpiave;G 80.....Blanca....;;;$ 63,74; $ 77,13 
0511;BISAGRA;CENTRAL;Columbia; Columbia HTF 1302/ 2334 /2;Linea nueva chica blanca;;;$ 118,05; $ 142,84 
0512;BISAGRA;CENTRAL;Kohinoor; Koh-i-noor K-I-N 1/2;Blanca;;;$ 157,72; $ 190,84 
0513;BISAGRA;CENTRAL;Kohinoor; Koh-i-noor  KDX 4394;Dorada …..Zamak;;;$ 225,20; $ 272,49 
0514;BISAGRA;CENTRAL;Gafa;Eurosystem HGF360/357 ;;;;$ 68,11; $ 82,42 
0515;BISAGRA;CENTRAL;Electrolux; DF80/80X/ DFI80 DFW51 DT80X DW51X DWA51 DXW51 ;-62546016;;;$ 78,44; $ 94,91 
0516;BISAGRA;CENTRAL;Bambi/ Westinhouse/ Zenith/ Coventry/ Mihura/ Sigma/ Standard Electric;;Bisagra central no frost;;;$ 48,51; $ 58,70 
01225;BISAGRA;CENTRAL;Whirlpool/ Eslabón de Lujo;WRE/ WRM/ WRJ/ ERM;Bisagra intermedia        (14M );;;$ 182,16; $ 220,41 
17161;BISAGRA;CENTRAL;Whirlpool;ARB 354/7/89/420WW;Bisagra intermedia ;;;$ 125,00; $ 151,25 
27198;BISAGRA;CENTRAL;Whirlpool;WRE/ WRM/ WRX 48;Bisagra Int. ;;;$ 260,15; $ 314,78 
34154;BISAGRA;CENTRAL;Eslabón de Lujo;ERM 440;Bisagra int.;;;$ 171,36; $ 207,35 
34581;BISAGRA;CENTRAL;Eslabón de Lujo;ERM 440;Bisagra intermedia izquierda;;;$ 43,60; $ 52,75 
37733;BISAGRA;CENTRAL;Whirlpool;WRM 47;Bisagra intermedia nueva (17288);;;$ 131,76; $ 159,43 
41455;BISAGRA;CENTRAL;Whirlpool;WRM 34/37/ 38/41/44  WRD 36           ;Bisagra int. Izq.      ;;;$ 201,74; $ 244,10 
75934;BISAGRA;CENTRAL;Whirlpool;WRM..WRD..         ;Bisagra intermedia                             (   20 );;;$ 97,84; $ 118,38 
0780;BISAGRA;CONGELADOR ;Marshall/ Kent;;MTI..Jgo   Plasticas;;;$ 9,15; $ 11,07 
0782;BISAGRA;CONGELADOR ;Patrick; Mod. 512  ; c/u. traba;;;$ 0,00; $ -   
0783;BISAGRA;CONGELADOR ;Patrick;Mod. 512  ;c/u..inferior;;;$ 0,00; $ -   
57001;BISAGRA;CUBRE BISAGRA;Whirlpool;ARB 357/ART183;Cubre bisagra ;;;$ 30,00; $ 36,30 
0700;BISAGRA;FREEZER ;Gafa/ Peabody/ Philco;;Dorado;;;$ 196,00; $ 237,16 
0701;BISAGRA;FREEZER ;Gafa/ Peabody/ Philco;;Nuevo 96;;;$ 209,60; $ 253,62 
0702;BISAGRA;FREEZER ;Gafa;F300/400 ;Sin regulacion - Plateado Nuevo;;;$ 368,01; $ 445,29 
0703;BISAGRA;FREEZER ;Gafa;F200/500 c/ resorte;Con resorte;;;$ 368,01; $ 445,29 
0704;BISAGRA;FREEZER ;Gafa;Resortes de regulación puerta visú;;;;$ 17,36; $ 21,01 
17083;BISAGRA;FREEZER ;Whirlpool;AFG103;Bisagra puerta Evap. Izquierda ;;;$ 12,00; $ 14,52 
17083;BISAGRA;FREEZER ;Whirlpool;AFG103;Bisagra puerta Evap. Derecha ;;;$ 12,00; $ 14,52 
26518;BISAGRA;FREEZER ;Whirlpool;WRA08A;Bisagra Sup. Blanca ;;;$ 220,54; $ 266,85 
97305;BISAGRA;FREEZER ;Whirlpool;WHB 42 /53;Bisagra freezer arcon ;;;$ 584,28; $ 706,98 
00180;BISAGRA;INFERIOR;Whirlpool/ Consul/ Eslabón de Lujo;ERA 30/34 CRC28B ERC23 WRM43;Bisagra inf. Der.;;;$ 152,34; $ 184,33 
0600;BISAGRA;INFERIOR;Tivoli/ Aurora/ Columbia/ Gafa; Aurora - Columbia - Gafa -Tivoli ;Para regular Derecha n°1;;;$ 65,29; $ 79,00 
0601;BISAGRA;INFERIOR;Tivoli/ Aurora/ Columbia/ Gafa; Aurora - Columbia - Gafa -Tivoli ;Para regular  Izquierda N°2;;;$ 63,07; $ 76,32 
0602;BISAGRA;INFERIOR;Bricket/ Coventry; Briket - Coventry - Adzen;reversible fija……;;;$ 58,39; $ 70,65 
0603;BISAGRA;INFERIOR;Gafa; Exhibidora vertical  Visu mod 380;Base y resorte ( 9069 );;;$ 135,47; $ 163,92 
0604;BISAGRA;INFERIOR;Tivoli/ Aurora/ Columbia; Aurora - Drean - Tívoli- Columbia  ;;;;$ 48,53; $ 58,73 
605;BISAGRA;INFERIOR;Bambi/ Westinhouse/ Zenith/ Coventry/ Mihura/ Sigma/ Standard Electric;;Bisagra Inferior ;;;$ 48,24; $ 58,38 
0606;BISAGRA;INFERIOR;Adaptable; Expositora Derecha ;con soporte ( negro )        ;;;$ 142,37; $ 172,27 
0607;BISAGRA;INFERIOR;Columbia;  HTF 1302/ 2334/2;Blanca Reversible;;;$ 149,67; $ 181,11 
17258;BISAGRA;INFERIOR;Whirlpool;ARB 355/ 359/ 421  ;Bisagra inf. Izq.                       c.c;;;$ 65,00; $ 78,65 
23354;BISAGRA;INFERIOR;Whirlpool;WRM 40/ WRX51D/ WRM 45B1;Bisagra inferior     Ref.;;;$ 201,31; $ 243,59 
73104;BISAGRA;INFERIOR;Whirlpool;AFG 101;Bisagra inferior izq.;;;$ 216,00; $ 261,36 
41265;BISAGRA;KIT;Whirlpool;;Bisagra kit inversión de puerta      ( buje blanco maestro);;;$ 187,98; $ 227,46 
